Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",114.52,96.45,107.03,93.71,81.8,76.87,42.53,28.93,61.66,62.01,71.91,75.16,73.49
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",86.3,85.87,91.99,93.69,105.1,112.41,123.34,122.63,132.23,138.95,150.77,180.22,121.97
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",89.68,89.15,108.73,85.77,95.01,101.45,100.67,106.3,108.26,108.86,117.24,132.92,105.71
514 Fungsi senyawa nitrogen,108.05,101.06,100.19,115.07,96.91,95.33,103.15,108.74,96.84,115.18,123.21,109.11,105.91
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",131.77,124.14,110.93,80.16,91.02,98.59,100.03,107.56,114.03,125.47,116.01,107.7,109.03
"522 Unsur kimia anorganik, oksida dan garam halogen",121.83,99.74,101.81,109.91,199.47,134.53,123.28,110.7,125.41,119.12,109.54,146.54,124.9
"523 Garam dan garam peroksi, asam anorganik dan logam",89.61,115.08,111.73,125.27,128.89,122.15,106.94,119.97,102.38,101.76,103.26,98.23,115.71
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",107.44,104.51,93.71,85.81,88.22,90.99,94.62,88.8,88.37,81.64,91.15,75.16,92.15
"533 Pigmen, cat, pernis dan bahan terkait",80.21,69.71,63.02,78.43,67.28,63.8,67.67,66.05,63.06,58.37,58.38,67.53,66.88
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",95.53,67.73,91.83,88.94,105.17,105.88,90.16,91.54,76.96,82.2,91.16,76.68,90.07
"554 Sabun, pembersih dan alat untuk pembersih",104.67,110,110.75,107.56,106.87,105.29,106.34,110.75,131.19,118.75,133.23,117.8,113.43
562 Pupuk (selain yang dari kelompok 272),115.64,117.53,129.64,114.43,99.59,120.88,120.2,119.39,109.03,116.47,117.41,106.84,117.57
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",85.05,87.28,87.69,88.94,97.55,92.53,87.33,89.73,89.04,84.61,91.74,91.28,89.41
"575 Plastik lainnya, dalam bentuk asal",94.71,90.64,93.79,91.74,91.41,85.99,96.21,91.64,94.09,81.06,79.8,95.19,90.53
"582 Pelat, lembaran, film, foil dan strip, dari plastik",79.6,79.52,79,75.45,82.22,85.7,93.1,92.46,96.22,98.15,96.08,95.8,87.73
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",107.75,92.74,124.49,86.62,100.35,85.28,89.41,113.86,100.17,88.56,92.17,116.05,99.9
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",193.4,123.19,177.39,147.85,147.63,165.78,193.69,339.62,258.58,127.91,89.66,133.46,171.54
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",136.94,114.51,118.94,118.48,124.25,110.57,111.32,111.84,107.83,113.07,109.22,113.14,115.88
"598 Macam-macam produk kimia, tidak dirinci",142.86,137.16,139.27,129.91,141.8,142.25,135.47,155.57,161.74,106.63,100.76,93.87,133.46
611 Kulit,109.12,80.91,82.49,91.38,89.84,88.7,85.83,95.68,106.2,94.73,80.32,86.22,91.08
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",128.54,124.59,120.95,120.89,84.42,119.43,112.65,115.32,113.81,117.11,115.38,114.35,115.6
"629 Barang dari karet, tidak dirinci",97.36,82.17,100.33,94.81,88.2,75.42,89.51,62.74,68.24,97.49,52.32,97.7,83.68
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",88.73,87.8,85.74,83.92,82.55,83.42,78.42,82.05,81.59,83.44,86.04,85.47,84.04
"635 Produsen kayu, tidak dirinci",97.38,111.02,97.67,94.6,97.79,100.18,99.72,98.35,93.42,92.28,91.14,91.53,97.31
641 Kertas dan kertas karton,92.7,89.82,90.24,88.07,88.57,91.29,88.42,89.94,89.67,89.7,87.88,88.14,89.51
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",115.65,109.93,110.73,112.42,110.07,110.63,106.41,103.38,102.65,102.65,103.71,101.79,107.67
651 Benang tekstil,88.45,87.53,87.93,91.07,87.34,85.58,87.25,87.66,86.3,87.59,85.6,88.78,87.61
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",112.65,107.11,106.31,95.2,101.24,100.15,100.25,102.73,100.04,95.84,96.87,103.41,101.94
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",114.97,110.05,110.2,113.83,110.35,109.69,112.37,111.96,112.97,115.62,117,114.41,112.75
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",117.8,104.43,103.11,120.47,97.1,130.04,107.47,117.21,109.35,108.6,91.75,97.94,109.04
"656 Kain tulle, renda, bordir, pita, hiasan dan barang lainnya",113.55,88.63,98.7,171.85,118.26,91.43,198.4,134.75,135.99,95.22,208.4,113.95,122.43
"657 Benang khusus, kain tekstil khusus dan produk-produk terkait",100.61,100.87,103,95.13,94.32,93.84,89.95,92.47,86.73,92.05,93.11,96.14,95.31
"658 Barang yang dibuat, seluruhnya atau terutama dari bahan tekstil, tidak dirinci",107.24,92.3,112.19,100.46,90.63,93.67,83.62,90.89,91.49,88.54,93.4,83.89,94.63
"659 Penutup lantai, dll",101.17,98.39,94.63,89.62,91.34,96.61,103.32,115.19,102.65,111.71,96.96,93.38,100.13
